id,game_id,match_date,home_team,away_team,home_goals,away_goals,season,checked,betexplorer_id
83,221010019,2002-10-10,25,1,3,4,2002-2003,1,NULL
84,221011009,2002-10-11,9,1,4,2,2002-2003,1,NULL
85,221013025,2002-10-13,1,10,2,4,2002-2003,1,NULL
86,221016025,2002-10-16,1,13,2,4,2002-2003,1,NULL
87,221018025,2002-10-18,1,28,2,2,2002-2003,1,NULL
88,221020025,2002-10-20,1,7,2,2,2002-2003,1,NULL
89,221024022,2002-10-24,28,1,2,2,2002-2003,1,NULL
90,221026006,2002-10-26,11,1,4,3,2002-2003,1,NULL
91,221028021,2002-10-28,27,1,5,2,2002-2003,1,NULL
92,221029010,2002-10-29,15,1,2,2,2002-2003,1,NULL
93,221031001,2002-10-31,2,1,1,4,2002-2003,1,NULL
94,221103025,2002-11-03,1,24,3,4,2002-2003,1,NULL
95,221106025,2002-11-06,1,16,2,1,2002-2003,1,NULL
96,221108017,2002-11-08,7,1,2,2,2002-2003,1,NULL
97,221110025,2002-11-10,1,14,1,0,2002-2003,1,NULL
98,221112011,2002-11-12,17,1,2,2,2002-2003,1,NULL
99,221114029,2002-11-14,8,1,2,3,2002-2003,1,NULL
100,221115005,2002-11-15,10,1,1,1,2002-2003,1,NULL
101,221117028,2002-11-17,30,1,1,5,2002-2003,1,NULL
102,221119013,2002-11-19,19,1,2,2,2002-2003,1,NULL
103,221122025,2002-11-22,1,9,0,4,2002-2003,1,NULL
104,221124025,2002-11-24,1,12,4,4,2002-2003,1,NULL
105,221127025,2002-11-27,1,22,2,2,2002-2003,1,NULL
106,221129025,2002-11-29,1,13,2,2,2002-2003,1,NULL
107,221201025,2002-12-01,1,6,3,2,2002-2003,1,NULL
108,221203005,2002-12-03,10,1,2,1,2002-2003,1,NULL
109,221204002,2002-12-04,3,1,4,0,2002-2003,1,NULL
110,221206004,2002-12-06,6,1,3,4,2002-2003,1,NULL
111,221208025,2002-12-08,1,16,3,0,2002-2003,1,NULL
112,221211025,2002-12-11,1,29,3,0,2002-2003,1,NULL
113,221215025,2002-12-15,1,23,5,0,2002-2003,1,NULL
114,221218025,2002-12-18,1,25,5,2,2002-2003,1,NULL
115,221219008,2002-12-19,13,1,5,4,2002-2003,1,NULL
116,221222025,2002-12-22,1,22,4,0,2002-2003,1,NULL
117,221226018,2002-12-26,24,1,4,1,2002-2003,1,NULL
118,221228022,2002-12-28,28,1,7,3,2002-2003,1,NULL
119,221229003,2002-12-29,4,1,4,2,2002-2003,1,NULL
120,221231030,2002-12-31,14,1,4,1,2002-2003,1,NULL
121,230103025,2003-01-03,1,21,0,1,2002-2003,1,NULL
122,230105025,2003-01-05,1,9,1,1,2002-2003,1,NULL
